id;year;country;event;artist;title;points_total;rank
388;1980;E;3;Trigo Limpio;Quedate esta noche;38;12
389;1980;B;3;Telex;Euro-Vision;14;17
390;1981;AUT;3;Marty Brem;Wenn du da bist;20;17
391;1981;TR;3;Modern Folk Trio & Aysegül;Dönme dolap;9;18
392;1981;D;3;Lena Valaitis;Johnny Blue;132;2
393;1981;LUX;3;Jean Claude Pascal;C'est peut-être pas l'Amérique;41;11
394;1981;ISR;3;Habibi;Layla;56;7
395;1981;DK;3;Tommy Seebach & Debbie Cameron;KrØller eller ej;41;11
396;1981;YUG;3;Seid Memic-Vajta;Leyla;35;15
397;1981;SF;3;Riki Sorsa;Reggae O.K.;27;16
398;1981;F;3;Jean Gabilou;Humanahum;125;3
399;1981;E;3;Bacchelli;Y sólo tú;38;14
400;1981;NL;3;Linda Williams;Het is een wonder;51;9
401;1981;IRL;3;Sheeba;Horoscopes;105;5
402;1981;N;3;Finn Kalvik;Aldri i livet;0;20
403;1981;UK;3;Bucks Fizz;Making Your Mind Up;136;1
404;1981;POR;3;Carlos Paião;Playback;9;18
405;1981;B;3;Emly Starr;Samson;40;13
406;1981;GR;3;Yiannis Dimitras;Feggari kalokerino;55;8
407;1981;ZYP;3;Island;Monica;69;6
408;1981;CH;3;Peter, Sue & Marc;Io senza te;121;4
409;1981;S;3;Björn Skifs;Fångad i en dröm;50;10
410;1982;POR;3;Doce;Bem Bom;32;13
411;1982;LUX;3;Svetlana;Cours après le temps;78;6
412;1982;N;3;Jahn Teigen & Anita Skorgan;Adieu;40;12
413;1982;UK;3;Bardo;One Step Further;76;7
414;1982;TR;3;Neco;Hani;20;15
415;1982;SF;3;Kojo;Nuku pommiin;0;18
416;1982;CH;3;Arlette Zola;Amour on t'aime;97;3
417;1982;ZYP;3;Anna Vissi;Mono i agapi;85;5
418;1982;S;3;Chips;Dag efter dag;67;8
419;1982;AUT;3;Mess;Sonntag;57;9
420;1982;B;3;Stella;Si tu aimes ma musique;96;4
421;1982;E;3;Lucia;El;52;10
422;1982;DK;3;Brixx;Video Video;5;17
423;1982;YUG;3;Aska;Halo Halo;21;14
424;1982;ISR;3;Avi Toledano;Hora;100;2
425;1982;NL;3;Bill van Dijk;Jij en ik;8;16
426;1982;IRL;3;The Duskeys;Here Today, Gone Tomorrow;49;11
427;1982;D;3;Nicole;Ein bisschen Frieden;161;1
